"situation","indicateur_base","formule_base (OR)","indicateur_derive","formule_derivee (probleme)"
"ref","FretFluvCat21Request","=K676","FretFluvCat21NbTraj","=K680 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F680)),1,0)"
"ref","FretFluvCat21Request","=K676","FretFluvCat21DistAn","=K680 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F680)),1,0)"
"ref","FretFluvCat22Request","=K687","FretFluvCat22NbTraj","=K691 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F691)),1,0)"
"ref","FretFluvCat22Request","=K687","FretFluvCat22DistAn","=K691 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F691)),1,0)"
"ref","FretFluvCat23Request","=K698","FretFluvCat23NbTraj","=K702 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F702)),1,0)"
"ref","FretFluvCat23Request","=K698","FretFluvCat23DistAn","=K702 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F702)),1,0)"
"ref","FretFluvCat24Request","=K709","FretFluvCat24NbTraj","=K713 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F713)),1,0)"
"ref","FretFluvCat24Request","=K709","FretFluvCat24DistAn","=K713 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F713)),1,0)"
"ref","FretFluvCat25Request","=K720","FretFluvCat25NbTraj","=K724 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F724)),1,0)"
"ref","FretFluvCat25Request","=K720","FretFluvCat25DistAn","=K724 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F724)),1,0)"
"ref","FretFluvCat26Request","=K731","FretFluvCat26NbTraj","=K735 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F735)),1,0)"
"ref","FretFluvCat26Request","=K731","FretFluvCat26DistAn","=K735 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F735)),1,0)"
"ref","FretFluvCat27Request","=K742","FretFluvCat27NbTraj","=K746 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F746)),1,0)"
"ref","FretFluvCat27Request","=K742","FretFluvCat27DistAn","=K746 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F746)),1,0)"
"ref","FretFluvCat28Request","=K753","FretFluvCat28NbTraj","=K757 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F757)),1,0)"
"ref","FretFluvCat28Request","=K753","FretFluvCat28DistAn","=K757 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F757)),1,0)"
"ref","FretFluvCat29Request","=K764","FretFluvCat29NbTraj","=K768 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F768)),1,0)"
"ref","FretFluvCat29Request","=K764","FretFluvCat29DistAn","=K768 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F768)),1,0)"
"ref","FretFluvCat30Request","=K775","FretFluvCat30NbTraj","=K779 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F779)),1,0)"
"ref","FretFluvCat30Request","=K775","FretFluvCat30DistAn","=K779 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F779)),1,0)"
"ref","FretFluvCat31Request","=K786","FretFluvCat31NbTraj","=K790 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F790)),1,0)"
"ref","FretFluvCat31Request","=K786","FretFluvCat31DistAn","=K790 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F790)),1,0)"
"ref","FretFluvCat32Request","=K797","FretFluvCat32NbTraj","=K801 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F801)),1,0)"
"ref","FretFluvCat32Request","=K797","FretFluvCat32DistAn","=K801 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F801)),1,0)"
"ref","FretFluvCat33Request","=K808","FretFluvCat33NbTraj","=K812 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F812)),1,0)"
"ref","FretFluvCat33Request","=K808","FretFluvCat33DistAn","=K812 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F812)),1,0)"
"ref","FretFluvCat34Request","=K819","FretFluvCat34NbTraj","=K823 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F823)),1,0)"
"ref","FretFluvCat34Request","=K819","FretFluvCat34DistAn","=K823 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F823)),1,0)"
"ref","FretFluvCat35Request","=K830","FretFluvCat35NbTraj","=K834 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F834)),1,0)"
"ref","FretFluvCat35Request","=K830","FretFluvCat35DistAn","=K834 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F834)),1,0)"
"ref","FretFluvCat36Request","=K841","FretFluvCat36NbTraj","=K845 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F845)),1,0)"
"ref","FretFluvCat36Request","=K841","FretFluvCat36DistAn","=K845 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F845)),1,0)"
"ref","FretFluvCat37Request","=K852","FretFluvCat37NbTraj","=K856 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F856)),1,0)"
"ref","FretFluvCat37Request","=K852","FretFluvCat37DistAn","=K856 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F856)),1,0)"
"ref","FretFluvCat38Request","=K863","FretFluvCat38NbTraj","=K867 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F867)),1,0)"
"ref","FretFluvCat38Request","=K863","FretFluvCat38DistAn","=K867 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F867)),1,0)"
"ref","FretFluvCat39Request","=K874","FretFluvCat39NbTraj","=K878 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F878)),1,0)"
"ref","FretFluvCat39Request","=K874","FretFluvCat39DistAn","=K878 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F878)),1,0)"
"ref","FretFluvCat40Request","=K885","FretFluvCat40NbTraj","=K889 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F889)),1,0)"
"ref","FretFluvCat40Request","=K885","FretFluvCat40DistAn","=K889 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F889)),1,0)"
"ref","FretFluvCat41Request","=K896","FretFluvCat41NbTraj","=K900 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F900)),1,0)"
