"situation","indicateur_base","formule_base (OR)","indicateur_derive","formule_derivee (probleme)"
"expost","FretFluvCat25Request","=K737","FretFluvCat25DistAn","=K741 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F741)),1,0)"
"expost","FretFluvCat26Request","=K748","FretFluvCat26NbTraj","=K752 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F752)),1,0)"
"expost","FretFluvCat26Request","=K748","FretFluvCat26DistAn","=K752 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F752)),1,0)"
"expost","FretFluvCat27Request","=K759","FretFluvCat27NbTraj","=K763 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F763)),1,0)"
"expost","FretFluvCat27Request","=K759","FretFluvCat27DistAn","=K763 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F763)),1,0)"
"expost","FretFluvCat28Request","=K770","FretFluvCat28NbTraj","=K774 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F774)),1,0)"
"expost","FretFluvCat28Request","=K770","FretFluvCat28DistAn","=K774 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F774)),1,0)"
"expost","FretFluvCat29Request","=K781","FretFluvCat29NbTraj","=K785 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F785)),1,0)"
"expost","FretFluvCat29Request","=K781","FretFluvCat29DistAn","=K785 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F785)),1,0)"
"expost","FretFluvCat30Request","=K792","FretFluvCat30NbTraj","=K796 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F796)),1,0)"
"expost","FretFluvCat30Request","=K792","FretFluvCat30DistAn","=K796 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F796)),1,0)"
"expost","FretFluvCat31Request","=K803","FretFluvCat31NbTraj","=K807 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F807)),1,0)"
"expost","FretFluvCat31Request","=K803","FretFluvCat31DistAn","=K807 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F807)),1,0)"
"expost","FretFluvCat32Request","=K814","FretFluvCat32NbTraj","=K818 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F818)),1,0)"
"expost","FretFluvCat32Request","=K814","FretFluvCat32DistAn","=K818 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F818)),1,0)"
"expost","FretFluvCat33Request","=K825","FretFluvCat33NbTraj","=K829 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F829)),1,0)"
"expost","FretFluvCat33Request","=K825","FretFluvCat33DistAn","=K829 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F829)),1,0)"
"expost","FretFluvCat34Request","=K836","FretFluvCat34NbTraj","=K840 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F840)),1,0)"
"expost","FretFluvCat34Request","=K836","FretFluvCat34DistAn","=K840 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F840)),1,0)"
"expost","FretFluvCat35Request","=K847","FretFluvCat35NbTraj","=K851 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F851)),1,0)"
"expost","FretFluvCat35Request","=K847","FretFluvCat35DistAn","=K851 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F851)),1,0)"
"expost","FretFluvCat36Request","=K858","FretFluvCat36NbTraj","=K862 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F862)),1,0)"
"expost","FretFluvCat36Request","=K858","FretFluvCat36DistAn","=K862 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F862)),1,0)"
"expost","FretFluvCat37Request","=K869","FretFluvCat37NbTraj","=K873 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F873)),1,0)"
"expost","FretFluvCat37Request","=K869","FretFluvCat37DistAn","=K873 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F873)),1,0)"
"expost","FretFluvCat38Request","=K880","FretFluvCat38NbTraj","=K884 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F884)),1,0)"
"expost","FretFluvCat38Request","=K880","FretFluvCat38DistAn","=K884 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F884)),1,0)"
"expost","FretFluvCat39Request","=K891","FretFluvCat39NbTraj","=K895 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F895)),1,0)"
"expost","FretFluvCat39Request","=K891","FretFluvCat39DistAn","=K895 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F895)),1,0)"
"expost","FretFluvCat40Request","=K902","FretFluvCat40NbTraj","=K906 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F906)),1,0)"
"expost","FretFluvCat40Request","=K902","FretFluvCat40DistAn","=K906 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F906)),1,0)"
"expost","FretFluvCat41Request","=K913","FretFluvCat41NbTraj","=K917 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F917)),1,0)"
"expost","FretFluvCat41Request","=K913","FretFluvCat41DistAn","=K917 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F917)),1,0)"
"expost","FretFluvCat42Request","=K924","FretFluvCat42NbTraj","=K928 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F928)),1,0)"
"expost","FretFluvCat42Request","=K924","FretFluvCat42DistAn","=K928 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F928)),1,0)"
"expost","FretFluvCat43Request","=K935","FretFluvCat43NbTraj","=K939 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F939)),1,0)"
"expost","FretFluvCat43Request","=K935","FretFluvCat43DistAn","=K939 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F939)),1,0)"
"expost","FretFluvCat44Request","=K946","FretFluvCat44NbTraj","=K950 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F950)),1,0)"
"expost","FretFluvCat44Request","=K946","FretFluvCat44DistAn","=K950 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F950)),1,0)"
"expost","FretFluvCat45Request","=K957","FretFluvCat45NbTraj","=K961 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F961)),1,0)"
"expost","FretFluvCat45Request","=K957","FretFluvCat45DistAn","=K961 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F961)),1,0)"
"expost","FretFluvCat46Request","=K968","FretFluvCat46NbTraj","=K972 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F972)),1,0)"
"expost","FretFluvCat46Request","=K968","FretFluvCat46DistAn","=K972 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F972)),1,0)"
"expost","FretFluvCat47Request","=K979","FretFluvCat47NbTraj","=K983 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F983)),1,0)"
"expost","FretFluvCat47Request","=K979","FretFluvCat47DistAn","=K983 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F983)),1,0)"
"expost","FretFluvCat48Request","=K990","FretFluvCat48NbTraj","=K994 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F994)),1,0)"
