"situation","indicateur_base","formule_base (OR)","indicateur_derive","formule_derivee","imbrique_ok","condition_resolue"
"expost","FretFluvCat43Request","=K935","FretFluvCat43DistAn","=K939 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F939)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat43Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat44Request","=K946","FretFluvCat44NbTraj","=K950 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F950)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat44Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat44Request","=K946","FretFluvCat44DistAn","=K950 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F950)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat44Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat45Request","=K957","FretFluvCat45NbTraj","=K961 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F961)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat45Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat45Request","=K957","FretFluvCat45DistAn","=K961 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F961)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat45Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat46Request","=K968","FretFluvCat46NbTraj","=K972 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F972)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat46Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat46Request","=K968","FretFluvCat46DistAn","=K972 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F972)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat46Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat47Request","=K979","FretFluvCat47NbTraj","=K983 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F983)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat47Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat47Request","=K979","FretFluvCat47DistAn","=K983 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F983)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat47Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat48Request","=K990","FretFluvCat48NbTraj","=K994 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F994)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat48Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
